,job_ref,job_title,location,salary,description,type,extraction_date,salary_low,salary_high
10,['62837/KD'],Data Scientist,London,£55000 - £65000 per annum + benefits + bonus,  £55000-£65000    bonus THIS COMPANY: This fast-growing fintech company is proud of their culture that drives pioneering ideas and revolutionising the way that data science is done in fintech They are looking for someone to join a team that champions a data-driven approach to all business decisions : As a  you will be joining an exploratory Data Science team that implements advanced statistical modelling and machine learning techniques Working with large data sets building advanced statistical and machine learning models to analyse how customers are using their product and producing insights off the back of this : : : Please register your interest by sending your CV to Kian Dixon via the Apply link on this page For more information about similar roles please get in touch Working with large data sets and applying advanced predictive modelling and machine learning techniques in Python Experimenting and leading your own research into machine learning techniques to create tailored solutions to technical problems Using Python for building machine learning models and SQL for data manipulation Effectively delivering technical concepts and insights to non-technical management and stakeholders that will ultimately influence critical business decisions Extensive knowledge and use of Python for machine learning and SQL for manipulating data Proven commercial experience applying commercial and experimental machine learning techniques using Python The successful data scientist will have industrial experience using machine learning techniques in Python The ideal candidate will have the ability to communicate heavily technical concepts in an effective way and have experience delivering such to non-technical stakeholders £55000-£65000    bonus Fortnightly meet ups,Permanent,2019-10-24,55000,65000
11,['66176 - SP'],DATA SCIENTIST,London,£55000 - £65000 per annum + + Benefits," : Up to £65000 CENTRAL LONDON: Do you have a passion for solving complex problems with data? Are you looking for a new data science role where the work reaches millions of people on a daily basis? Do you like solving important business questions through the use of the latest Data Science techniques? If yes this role could be for you :  ""This company is the largest of its kind in Europe and is home to some of the best loved brands within its industries and is estimated to reach well over 20 million people across the UK alone every week All of which makes this company an exciting place to work where you know the work that you do reaches huge numbers of people on a daily basis"" :  Within this role the main responsibilities will include: S:  The main skills and experiences you will need for this role are:  :  The successful application an expect to receive the following: : Please register your interest by sending your CV to Sam Phillips via the apply link on this page Solving complex problems through the use of the latest data techniques Focusing on work that drives real value to the business Using the latest Machine Learning and AI techniques on often unique data sets to help evolve their commercial and product capabilities Extensive commercial experience as a Data Scientist Senior Analyst in an analytical commercial environment Proven ability to define analytical requirements and the ability to turn them into effective data models Proven proficiency with: R Matlab and statistical models Ability to implement SQL in a business environment Strong Python skills Strong interpersonal skills and the ability to effectively communicate to both technical and non-technical stakeholders Experience working with Data Engineering teams and an understanding of data pipelines (preferred but not essential) A base salary of up to: £65000 Strong ",Permanent,2019-10-24,55000,65000
12,['VAC - 53029'],Senior Data Science,London,£60000 - £75000 per annum + Additional Benefits,   £75000  The Company This is your opportunity to join a well-established company helping to build your own Data Science team from the ground up You will be working in a company that is known world-wide having a once in a life time opportunity to grow and influence Data Science globally  The Role  In this role you will join a small close knit team and see this grow around you- being a vital part of this movement You will use your specialist knowledge in Machine Learning and PythonR to build innovative solutions and have the chance to learn and progress in new areas You will: Key Skills and Requirements      Interested? Please register your interest by submitting your CV directly by applying to this advert Work closely with Cloud based technologies such as GCPAWS Develop advanced analytics algorithms viewing behaviours on multiple platforms Develop solutions create frameworks and engage with multiple different teams across the business to manage customer strategy using Python or R Strengthen and build the Data Science capability Expertise in Advanced Analytics: NLP Forecasting Predictive Modelling Clustering etc Experience developing and deploying cloud based solutions Experience in Deep Learning techniques,Permanent,2019-10-24,60000,75000
13,['67222'],Senior Data Scientist ,London,Up to £80000 per annum + Yes,"  United Kingdom Salary £80000  Benefits   Exciting opportunity looking for ML experts to join a team of Data Scientists applying your own knowledge to solve complex business issues  A well-established company that focuses on the Customer Needs through AI ML and DL models This role is a chance to work with a highly innovative company who are working on projects that look at all areas of Customer behaviour Customer needs and Customer insights This company is highly focused on Digital Transformation and how it can be used   This role is a chance to develop your business knowledge and work with huge data sets You will be working as part of a collaborative team to analyses business and data itself    AND   ""Understanding customers needs through AI "" Delivering complex projects with a commercial approach Building and maintain algorithms using ML Implementing a visual and commercial approach within the projects Come up with innovative approaches to business problems on a daily basis Creating models to analyse interactions  Working with a range of data sets on three major projects Experience developing ML algorithms using Python or R Proficient using SQL and NoSQL data bases Collaborating with team members  Initiative and willingness to create own ideas  PhD in a Machine learning Computer Vision or Statistics Self-willingness and drive to innovate Experience taking ownership and willingness to lead projects Ability to understand a number of problems specifically business problems Expertise mining large and complex data sets Prior experience with ApacheSpark to deploy projects Considerable experience working as a data scientist Earning potential up to £80000  a number of  Please register your interest by sending your CV to Charlotte York via the apply link on this page",Permanent,2019-10-24,80000,80000
14,['VACOIH'],Data Scientist,London,£50000 - £60000 per annum,"Insurance£50000 - £60000  Benefits  This is an opportunity to join a leading UK insurer as a  in their  office The team has grown at a rapid rate over the past 18 months and you will join a team of 25 like-minded individuals You will work on a range of projects across digital and marketing using your knowledge of machine learning to help build high-impact products for the business There is a great team culture with regular hackathons meet-ups and learning opportunities to be had You will also have 1 day per month dedicated solely to personal learning where you can choose the project and what you want to do ""NB - there is also a great new office based in the heart of s technology district with a start-up feel to it""  As a   SKILLS AND EXPERTISE To be considered for this position you must have the following:  To be considered for this exciting opportunity please submit your details using the Apply button on this page For more information please contact  at    R Python SQL Tableau Machine Learning SQL Modelling Machine Learning Algorithmic Development Algorithm  Data Science Big Data Insight Customer lifetime value models retention churn cross sell up sell stakeholder management Utilising machine learning techniques to deliver insights Delivering a business critical and high-impact projects for the company from conception through to completion Carrying out existing projects in relation to: customer segmentation recommender systems NLP  sentiment analysis and more 1x day every month to work on your own research and projects Hands-on experience with R or Python for machine learning Masters degree or equivalent qualification in a Statistical or numerate degree Experience in delivering effective insights and influencing stakeholders",Permanent,2019-10-24,50000,60000
15,['676629/DL'],Data Scientist,"West End, London",£40000 - £50000 per annum + Benefits,"""London£40000-£50000  BenefitsLooking for the chance to join an expanding Data team with access to huge amounts of customer data?This e-commerce company within the automotive sector are looking to expand their Data Science team to work on both research and customer analytics projects:This company is a well-known name across the industry With the access to vast amounts of data and personal growth potential it really is an exciting place to be:Youll be joining a team where your responsibilities will include:"" :Desired skills & attributes you should include:  : :Please register your interest by sending your CV to Dan Lewis via the Apply link on this page Defining the quantitative element of projects Quantitative input into the design and testing of prototype concepts Contributing to analytical problem solving and product development approaches Develop your own Data Science skills alongside working commercially Experience working in a commercial environment Exceptional communication skills Technical Data Science skills MSc or PhD from in a STEM discipline Competitive Salary  Bonus Huge growth potential Great working culture and staff retention",Permanent,2019-10-24,40000,50000
16,['VWQNFrur03RM'],Research Scientist,Hertfordshire,£70000 - £80000 per annum + Benefits,NLPRobotics Company£80000   The Company  are working with a robotics company in  who are looking to hire a number of machine learning researchers and NLP specialists Here are some key company highlights: The Role -  (NLP) You will be: Your Skills and Experience -  (NLP) You must have: The Benefits -  (NLP) £80000  healthcare  pension  many more How to Apply?  For more information about similar roles please get in touch with  at  Keywords Python AWS Spark Machine Learning Statistics Artificial Intelligence Data Scientist Data Science big data deep learning NLP natural language processing Software Engineering CICD   Company is now valued at over £1bn They have grown hugely over the last 5 years partnering with some industry leaders They have robotics as part of their operations and logistics Huge growth plans for the data science and machine learning team World-class team of machine learning specialists Working on problems in relation to text and language Working on problems in relation to optimising warehouse logistics deliveries and personalised products for customers Working as part of a large team of scientists and engineers Working with the latest tools and technologies Delivering high-impact algorithms for the business An MSc or PhD in Computer Science (preferred) otherwise quantitative discipline A strong knowledge of machine learning (andor deep learning) Experience in natural language processing and text analytics An interest in production-level  end-to-end problem solving,Permanent,2019-10-24,70000,80000
17,['VACN££$*I'],Quantitative Strategist,London,£120000 - £130000 per annum,"Machine Learning  Trading£130000  Bonus  Benefits   are working with a global quant trading team on building out a team devoted to machine learning-led (electronic) trading strategies You will join a team that has a huge impact in the way data is used and analysed within the company; you will maintain a very close working relationship with traders to help the business generate significant revenue; and you will have a strong influence in the use of innovative techniques brought into the team  As a   SKILLS AND EXPERTISE You will have:  DETAILS £130000  Bonus  Benefits "" To be considered for this opportunity please submit your details using the Apply button on this page For more information about similar opportunities please contact  at ""  Data Scientist Data Science  Machine Learning Deep Learning Python financial services investment research  Applying advanced machine learning techniques to drive trading decisions Researching and developing new techniques for the team to utilise Working in Python primarily (strong codingprogramming necessary) A deep knowledge of machine learning Excellent programmingcoding abilities in Python preferred A PhD in a quantitative subject",Permanent,2019-10-24,120000,130000
18,['57168/DM7'],THE COMPANY ,London,£40000 - £80000 per annum, This organisation has always worked for a purpose - their purpose is to use the power of communications to make the world a better place At their roots they are a technology company with research and innovation in their bones and a desire to be a personal simple and brilliant for their customers   In this role as a Data Scientist  SKILLS AND EXPERIENCE    Please register your interest by sending your CV to Daniel Moss via the Apply link on this page  Use methodical Data Science techniques to select and tune algorithms and quantify business performance# Tells engaging stories in a non-technical way Understanding analysing and quantifying data analysis requirements hand on testing Experimental design and outcomes analysisreporting  Analyse complex behavioural and sensory data statistical models Strong commercial Python experience Experience with Machine Learning & developing models Strategic thinking & problem solving skills  Passion for Data Science Up to £50k Salary Competitive bonus Competitive pension,Permanent,2019-10-24,40000,80000
19,['VACNRM-23923'],Data Scientist,London,£65000 - £70000 per annum + Benefits,"Bayesian StatisticsCentral £65000 - £70000  Benefits  "" are currently working with one of the worlds highest-rated tech companies who are looking to continue building their Data Science function This role will involve working closely with many areas of the business to apply bayesian techniques to their large sets of data to help solve a number of challenging consumer problems"" In this team you will have a great exposure to a number of different projects and a variety of data science work - perfect for someone looking to hone their technical skills  As a   SKILLS AND EXPERTISE You will be:  DETAILS £65000 - £70000  Benefits  To be considered for this exciting opportunity please submit your details using the Apply button on this page  Machine Learning  Python  Advanced Analytics  Data Science  Analysis  Bayesian Statistics  Statistical Modelling  Probabilistic Modelling  Computational Statistics  Data Analysis  Hidden Markov Models  SQL  Recommendation Systems  Insight  Statistics  Utilising Bayesian methods to infer key insights on complex sets of data Driving improvements in digital marketing activities with key affiliates Carrying out new R&Dgreenfield projects Working as part of a team of 12 s A strong user of Python and experience in bayesian methodologies A strong communicator with the ability to convey technical work to non-technical audiences Educated to MSc or ideally PhD level in a quantitative subject such as Mathematics Statistics or Sciences",Permanent,2019-10-24,65000,70000
20,['5369ME'],Machine Learning Data Engineer - Product Innovation ,London,£450 - £550 per day," £450-£550 Central   As a Data Engineer you will be working in a truly world spanning company with offices scattered across the globe You will have the opportunity to work with some of the most recognisable brands out there in a fast-paced technical environment This will allow you to apply your skill set in helping your clients undertake a digital transformation that will give them the essential competitive edge The Role  ""As a Machine Learning Data Engineer your technical know-how will help provide essential support working on several projects You will be required to use your extensive understand of the latest technology the industry has to offer Your passion for Data will translate into your work allowing you to truly optimise your clients business performance and behaviour"" Your responsibilities will be as follows: Skills and Experience  How to Apply  Please register your interest by sending your CV to (insert your name) via the Apply link on this page Building and productionising machine learning products and data trees You will have the ability to build and integrate projects Understand data flows with wider digital experience Be an independent outspoken individual who can work autonomously as well as part of a team Have a diverse skill set having created connections between platforms Have excellent knowledge in Python SQL and Bash Understanding of software engineering techniques Building Data Science products and platforms from scratch Have experience with AWS and PostgreSQL Worked with APIs relating to social media",Contract,2019-10-24,450,550
21,['VAC - 59571'],Principal Technology Partner ,London,£75000 - £90000 per annum + Additional Benefits,  Up to £90000  The Company  Be one of the first to join the coalition of the two biggest brands in the UK taking ownership and revolutionising data strategy You will reach millions of customers and join the most innovative team in the company to do so growing the business from day one The Role  You will be part of a close knit and highly influential senior team looking to transform the businesses technology with a new radical approach This is a hybrid role working between Data Science Engineering and Architecture using Data Science and Analytics to add more value to the business You will: Key Skills and Requirements      Interested? Please register your interest by submitting your CV directly by applying to this advert   Be an expert in the data science area productionising models using R or Python Develop self service analytics capabilities across the business Engage with stakeholders to provide insight into emerging technology trends to inspire innovation Strong background in technology and defining technology strategy Experience with Data Science teams Big Data skill set: Hadoop R Python Hive,Permanent,2019-10-24,75000,90000
22,['62588/KD'],Lead Data Scientist ,London,£100000 - £120000 per annum + benefits + bonus,  £100000-£120000    bonus THIS COMPANY: This global ecommerce company is heavily investing in rapidly building out their R&D core data science function Join an exploratory Data Science team that implements advanced cutting-edge machine learning models to generate the best service in the industry You will be a core part of a culture that drives pioneering ideas receiving excellent training and learning opportunities and reporting into one of the leaders in the field : Working closely with lots of different business areas performing internal consultancy work to improve performance You will lead your own technical problems and take on as much or as little responsibility as you feel you can manage with the opportunity to manage if you choose : : : Please register your interest by sending your CV to Kian Dixon via the Apply link on this page For more information about similar roles please get in touch Exploring research on machine learning techniques Applying state-of-the-art predictive modelling and machine learning techniques in Python to large data sets to set Using SQL for data manipulation Effectively delivering technical concepts to non-technical stakeholders Extensive knowledge and use of Python for machine learning and SQL for manipulating data Proven commercial experience applying machine learning techniques using Python The successful data scientist will have industrial experience using experimental machine learning techniques in Python for driving the business forwards The ideal candidate will have the ability to communicate heavily technical concepts in an effective way and have experience delivering such to non-technical stakeholders £100000-£120000    bonus Fortnightly meet ups,Permanent,2019-10-24,100000,120000
23,['VACN$MER1'],Data Scientist,London,£100000 - £120000 per annum + Benefits,"£100000 - £120000  The  Data Science team have been exclusively retained by a well-known and loved UK brand to hire a team of 15 s The team you will join are to sit at the heart of the organisation with one clear goal: to introduce machine learning to several key areas striving to automate and generate new revenue opportunities As a team you will report directly to the board (CDO) and have significant resources to drive your initiative forward and grow the capability Key parts of your job will be to utilise cutting-edge data science and machine learning techniques to bring considerable value for the business  As a   SKILLS AND EXPERTISE To be considered for this position you must have the following:  To be considered for this exciting opportunity please submit your details using the Apply button on this page or contact  at   Python SQL Machine Learning  Data Science Hadoop Spark AWS GCP Artificial Intelligence Deep Learning   Helping to build a world class data science team of 15-20 people Utilising machine learning and advanced techniques to deliver valuable gains across several key areas Working closely with board-level stakeholders on key business objectives ""Introducing a strong culture of innovation within the organisation contributing to the companys data-driven goals"" A proven track record of working as part of a high-performing team of data scientists and researchers Experience of delivering successful and high-value data science initiatives within an organisation PhD-level qualifications from a top university worldwide Strong stakeholder management skills",Permanent,2019-10-24,100000,120000
24,['Vacancy #57168'],"DATA SCIENTIST£50,000 - £70,000 + BENEFITSLONDON",London,£50000 - £70000 per annum, Are you a Data Scientist looking to use Machine Learning to help optimise customer value through relevant and engaging communications? : This company is a global presence working across multiple products within retail  : As a Data Scientist you can expect to be engaging with a range of technology to build effective and sustainable machine learning models which support improved acquisition and profitability of customers YOUR ROLE AND RESPONSIBILITIES: : To qualify for this Data Scientist role you will need: :  The successful candidate will receive a salary dependent on experience between £50000 and £70000 as well as generous  : Please register your interest by sending your CV to Sean via the Apply link on this page Program modelling and data analytics through Python Providing commercially viable applications using deep learning techniques  Build deploy and optimise machine learning models which support improved acquisition and profitability of customers through Python Advanced analytics and programming for models through Python Good SQLdata manipulation skills required including cleaning and managing data Diverse experience in machine learning building data sets and engineering features,Permanent,2019-10-24,50000,70000
25,['5347/IWS'],Lead Analytics Consultant,"Nottingham, Nottinghamshire",£35000 - £65000 per annum + bonus and benefits," Nottingham  Up to £75000  Extensive Bonus and Benefits Package A well-known global com data company are growing their consulting and data science team and are on the lookout for commercially minded Lead Consultants who will deliver insights and help clients better understand their data  You will use your cosnutling knowledge to help drive a new product that has been built and designed by the company This will be used to support multiple clients across multiple areas but mainly finance and retail banks You will play a key role for this household name and work cross-functionally giving you fantastic exposure to all areas of the business   ""You dont have to tick all of the boxes but some of the following would be relevant:"" Salary and Benefits The successful candidate can expect to earn up to £75000 plus bonus plus         Providing insights to C-suite clients and work in a Data Science Consultant team You will take ownership of projects and work with board-level stakeholders You will work on ad-hoc projects and use the companies new data lake to provide deep-dive insights You will work their numerous clients eg banks and retailers and have global stakeholders  You will have commercial experience within an analytics environment  Ideally you will have experience delivering insights to stakeholders You will be comfortable with big data and analysing large transactional datasets with millions of rows  Experience within customer insight and presenting senior stakeholders",Permanent,2019-10-24,35000,65000
26,['24881/KD'],Data Scientist - forecasting,"Manchester, Greater Manchester",£45000 - £55000 per annum + benefits + bonus, Manchester £45000-£55000   This is a data-driven clothing ecommerce company focusing on improving all of their business decisions using data their forecasting team is investing heavily in finding their next Data Scientist to add huge value  As a Data Scientist in this forecasting team you will report into the head of decision science and join a team of 60 people with huge amounts of scope for collaboration and sharing approaches and data science techniques KEY SKILLS AND REQUIREMENTS Required: Nice to have:   Please register your interest by sending your CV to Kian Dixon via the Apply link on this page For more information about similar roles please get in touch Financial modelling and forecasting using Python Defining specific problems and understanding what machine learning solutions in Python to build and why You will be required to effectively communicate technical concepts with non-technical stakeholders and senior management Example projects include forecasting performance fraud protection and fincrime Commercial experience using Python andor as well as SQL The successful Data Scientist will have used Python andor R to build and implement machine learning models in industry and be able to discuss why they built these as well as the value that came off the back of these You will have worked directly with stakeholders and senior management previously on your projects Commercial experience using SAS Previous experience working with financial data or alongside marketing and sales teams - building machine learning models using Python,Permanent,2019-10-24,45000,55000
27,['27856/CW'],"Lead, Data Scientist ","City of London, London",Up to £85000 per annum + Yes, London United Kingdom Salary £85000 Benefits Lead Data Scientist role just in want to work solving complex data problems that impact the political world? Look no further  This company was founded in 2018 and has been growing rapidly since then Join a team of data scientists to work on full scale campaign management This role will be very research heavy and the aim is to look at psychology with behaviour focus  This role will allow you to grow you will be managing a team of Data Scientists use ML and AI to deliver projects This role will involve building web applications solving problems that are current within the communications role Work on identifying behavioural patterns working with clients to help solve problems and future recommendations    AND   Collaborate with project managers Lead projects and come up with your own ideas Managing client expectations International travel on some client projects Using ML to build algorithms Working with large scale data on complex research projects PhD in a quantitative discipline 1-year experience working at a leadsenior level Technically strong Experience using R and Python Strong knowledge of SQL databases Hands on experience with Cloud technologies The ability to work with people from a variety of different backgrounds Online experience of web tracking technologies Experience using NLP using supervised and unsupervised learning (eg Bayesian Random Forest Neural Networks) Proven experience building Predictive and Prescriptive models Earning potential up to £85000  a number of  Please register your interest by sending your CV to Charlotte York via the apply link on this page,Permanent,2019-10-24,85000,85000
