,company,job_title,salary,location,description,date
12,"

        Dorset Police",Data Forensic Investigator (number of positions to be confirmed),Nothing_found,Bristol,"
 For further details or an informal discussion please contact Jay Driscoll or Nick BRIGDEN, Data Forensic Team Leaders, on 01364 625973 or email at Jay.DRISCOLL…",2 hours ago
13,"

        NHS Wales Informatics Service",Project Officer (National Data Resource),"
                            £24,214 - £30,112 a year",Glamorgan,"
 The NDR will provide improved analytics capability and will enable better decision making for clinicians, operational managers, data scientists and other…",5 days ago
14,"

        Brighton and Sussex University Hospitals NHS Trust",Clinical Trials Data Officer,"
                            £21,089 - £23,761 a year",Brighton BN2,"
 Knowledge and experience of data management, collection and entry in the field of health or research in a University or NHS setting would be an asset.",2 hours ago
15,"
        Park Log Ltd",Data Analyst,"
                            £21,000 - £23,000 a year",Nottingham NG4,"
 We are currently recruiting for a Data Analyst to join our Team here in Nottingham.Further tasks include Invoicing using our Azura software, analysing delivery…",3 hours ago
16,"

        Selective Recruitment Solutions Limited",Junior Data Analyst,"
                            £20,000 - £25,000 a year",Nothing_found,"
 Exporting and uploading of data between systems.Are you looking to develop a career in Data?Ensuring internal users of the system maintain data integrity…",2 days ago
17,"

        Metropolitan Police",Senior digital forensic specialist (digital devices),"
                            £47,046 - £51,573 a year",Nothing_found,"
 Undertake technically complex evidential casework so that forensically acquired data can be applied to the criminal justice system.Go to previous or next page.",3 days ago
18,"

        DJ Alexander",Experienced Data Analyst,Nothing_found,Nothing_found,"
 Experienced Data Analyst required - Edinburgh.Up-to-date knowledge of technology and data regulations.We are supported by EPCC and The Data Lab.",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Yorkshire Building Society Group",Data Quality Lead,"
                            £30,000 - £35,000 a year",Nothing_found,"
 Undertake Data Profiling to support data quality issue investigation.Using your experience of data management, governance and/or data quality initiatives.",Nothing_found
2,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
3,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
4,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
5,"

        NHS Wales Informatics Service",Project Officer (National Data Resource),"
                            £24,214 - £30,112 a year",Glamorgan,"
 The NDR will provide improved analytics capability and will enable better decision making for clinicians, operational managers, data scientists and other…",5 days ago
6,"

        Brighton and Sussex University Hospitals NHS Trust",Clinical Trials Data Officer,"
                            £21,089 - £23,761 a year",Brighton BN2,"
 Knowledge and experience of data management, collection and entry in the field of health or research in a University or NHS setting would be an asset.",2 hours ago
7,"
        Park Log Ltd",Data Analyst,"
                            £21,000 - £23,000 a year",Nottingham NG4,"
 We are currently recruiting for a Data Analyst to join our Team here in Nottingham.Further tasks include Invoicing using our Azura software, analysing delivery…",3 hours ago
8,"

        NHS Wales Informatics Service",Project Manager (National Data Resource),"
                            £37,570 - £43,772 a year",Glamorgan,"
 The NDR will provide improved analytics capability and will enable better decision making for clinicians, operational managers, data scientists and other…",5 days ago
9,"

        UK Government - National Crime Agency",G3 Data Capability Manager,"
                            £44,371 a year",London,"
 Proven experience in building data capability including data models, data migration or integration and lifecycle management.You will be eligible for:",10 days ago
10,"

        Facebook","Data Scientist, Analytics (University Intern, London 2020)",Nothing_found,London,"
 Experience using data manipulation languages/tools, e.g. SQL (preferred), Python, R, Tableau, Advanced Excel, etc.",10 days ago
11,"

        London Metropolitan University",Research Opportunities,"
                            £55,797 - £71,532 a year",London,"
 With big data and open data;Transforming lives through excellent education.London Metropolitan University is a striving and ambitious.",4 days ago
12,"

        Gymshark",HEAD OF SPORTS SCIENCE & TESTING,Nothing_found,Solihull,"
 Ability to draw actionable insights from raw information and data.Proficiency in all aspects of the Sports Science process, study conception, study logistics,…",17 days ago
13,"

        King's College London",Operations Assistant (Data),"
                            £28,717 - £31,831 a year",London,"
 The post holder will cover some key aspects of the operational and data support for the Faculty - ranging from supporting end users with the absence reporting…",4 days ago
14,"

        Teesside University",Placements Co-ordinator,"
                            £22,417 - £26,715 a year",Middlesbrough TS1,"
 We are looking for an experienced administrator with recent knowledge and experience of data input, maintaining manual/electronic records and the analysis and…",6 days ago
15,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
 Attention to detail, ensuring accurate recording of data.We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
16,"
        causaLens",Data Scientist,"
                            £35,000 - £90,000 a year",Nothing_found,"
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series.",Nothing_found
17,"

        Selective Recruitment Solutions Limited",Junior Data Analyst,"
                            £20,000 - £25,000 a year",Nothing_found,"
 Exporting and uploading of data between systems.Are you looking to develop a career in Data?Ensuring internal users of the system maintain data integrity…",2 days ago
18,"

        Natures Way Foods Ltd",Master Data Administrator,Nothing_found,Nothing_found,"
 Ensure data quality, compliance and consistency of master data across business systems.Master Data Administrator, ERP Administrator, Trainee ERP Specialist,…",3 days ago
0,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
1,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
2,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
3,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
4,"
        Kubrick Group",Data Transformation Evangelist,Nothing_found,Nothing_found,"
 Training and developing the next generation of Kubrick Data Specialists.Many years of solid experience in data transformation roles (specified above).",Nothing_found
5,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
 Attention to detail, ensuring accurate recording of data.We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
6,"
        BP Bagley",Analyst,"
                            £350 a day",East London,"
 They may be a specialist in a particular industry such as finance or education, or they may have a specific skill set such as coding or data analysis or…",4 hours ago
7,"

        UK Government - Home Office",Cyber Security Apprenticeship,"
                            £24,108 - £27,236 a year",Manchester,"
 Produce accurate reports from our tools to demonstrate data held by the CSOC and trend analysis on incidents raised.Delivery and outcomes over process.",12 days ago
8,"
        MI5",Intelligence Officer Development Programme,Nothing_found,London,"
 Analysis – where you’ll work alongside those on our Intelligence & Data Analyst Development Programme, as well as experienced analysts to learn the tools and…",14 days ago
9,"

        GSK","R&D Data Science Graduate programme, UK, 2020",Nothing_found,Stevenage SG1,"
 R&D Data Science Graduate programme.By joining the GSK Data Science Graduate programme, you will gain unique experience in the growing field of data science…",14 days ago
10,"
        DoScouting",Football Data Journalist,"
                            £20 - £23 an hour",Northumberland Park,"
 Looking for sport data journalists in the United Kingdom!You will have to attend different sport matches and collect statistical data.",30+ days ago
11,"
        Yoltaz",Data Entry Clerk,Nothing_found,London,"
 Good administrative and clerical skills.Good interpersonal and communication skills, with customer service orientation.",6 days ago
12,"

        UK Government - Cabinet Office","Digital, Data and Technology Fast Stream","
                            £28,000 a year",Remote,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",24 days ago
13,"
        Keppel Corporation",Intern (Data Analytics),Nothing_found,Keppel,"
 Supports the Data Analytics team on project basis.The ideal candidate needs to be analytical and able to work with numbers well.",11 months ago
14,"

        Sparta Global",Junior Data Analyst,"
                            £21,000 - £25,999 a year",London,"
 Gather data from primary and secondary data sources.Develop optimised data collection systems that will enable efficient data analysis.What you get from us:",17 days ago
15,"

        Vodafone.co.uk",Product Owner (Data Analytics) - Internet of Things,Nothing_found,Nothing_found,"
 Solid experience and expertise across data integration and data management.Analyse usage of data products incl.Great, then we can help you thrive.",Nothing_found
16,"
        Newport Group",Data Scientist - Newport,Nothing_found,Nothing_found,"
 You will have been responsible for delivering Data Handling and Analytics projects in Data handling & Analysis projects plus a hands-on track record in Python…",Nothing_found
17,"

        Selective Recruitment Solutions Limited",Junior Data Analyst,"
                            £20,000 - £25,000 a year",Nothing_found,"
 Exporting and uploading of data between systems.Are you looking to develop a career in Data?Ensuring internal users of the system maintain data integrity…",2 days ago
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
 Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
 Gathering and analysing data, including user research.Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
2,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
 As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
3,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
 By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
4,"
        P Networks",Trainee Data Engineer,"
                            £60 - £75 a day",Bristol,"
 You will be trained/required to carry out complete installations from start to finish and will gain experience with data cabling, termination and testing of…",2 days ago
5,"
        EpiQuestLive",Trainee Data Engineer,Nothing_found,Hertfordshire,"
 We also have vacancies for junior engineers, no previous experience required, only a keenness to learn new skills and an opportunity to become a data…",30+ days ago
6,"

        Home Support Matters",Data Validation Administrator,"
                            £19,000 a year",Poringland,"
 Reconciling data daily from our electronic monitoring system.Reconciling weekly data on Controcc, confirming actuals for quality and invoicing purposes.",5 hours ago
7,"

        Northern Learning Trust",Administration and Data Officer - 28 hours per week,"
                            £12,400 - £14,000 a year",Newcastle upon Tyne NE3,"
 Working as part of the Head Office team the Admin and Data Officer is integral to supporting the day to day running and operations of Northern Learning Trust.",24 days ago
8,"
        BP Bagley",Analyst,"
                            £350 a day",East London,"
 They may be a specialist in a particular industry such as finance or education, or they may have a specific skill set such as coding or data analysis or…",4 hours ago
9,"
        Guru Systems",Data Analyst,"
                            £40,000 - £45,000 a year",London,"
 Interested in energy and Big Data?You will take stewardship of Guru’s data (including metadata) and support our developers in their work to create robust and…",5 days ago
10,"

        University of Bristol",Customer Relationship Management Systems and Data Assistant,"
                            £23,754 - £26,715 a year",Bristol BS8,"
 The University of Bristol are looking to appoint a Customer Relationship Management (CRM) Systems and Data Assistant (secondment cover).",2 days ago
11,"
        Troy UK",Product Data Co-ordinator,"
                            £17,000 - £19,000 a year",Exeter EX5,"
 As a Data Coordinator you will have responsibility for the product data collection, cleansing, alignment and data migration preparation for the successful…",2 hours ago
12,"

        King",Technology Internship,Nothing_found,London,"
 Data Services Team is responsible for processing the 1 million rows of data.With big data technologies (Hadoop and Spark), exposure to data modelling and.",13 days ago
13,"
        Secret Intelligence Service",Intelligence Officer,"
                            £33,800 - £42,700 a year",London,"
 A sharp intellect with an ability to link disparate data in order to draw conclusions.Intelligence is at the heart of what MI6 does.",4 months ago
14,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
 Attention to detail, ensuring accurate recording of data.We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
15,"
        causaLens",Data Scientist,"
                            £35,000 - £90,000 a year",Nothing_found,"
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series.",Nothing_found
16,"

        G-Research",Data Scientist - Data Intelligence,Nothing_found,Nothing_found,"
 Demonstrable proficiency in statistical data analysis and data visualisation.The successful candidate will be comfortable working within a multi-disciplinary…",Nothing_found
17,"

        Selective Recruitment Solutions Limited",Junior Data Analyst,"
                            £20,000 - £25,000 a year",Nothing_found,"
 Exporting and uploading of data between systems.Are you looking to develop a career in Data?Ensuring internal users of the system maintain data integrity…",2 days ago
18,"
        Fusion 85 Ltd",Intelligence Analyst,"
                            £30,000 - £35,000 a year",Nothing_found,"
 Conversant with and able to consistently apply data protection legislation.Analyse, review and integrate intelligence data from a variety of sources.",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
2,"

        Yorkshire Building Society Group",Data Manager,"
                            £45,000 a year",Nothing_found,"
            Oversee the data deficiency process; As our next Data Manager you’ll ensure that data quality management practices and approaches are fit for purpose and result…",Nothing_found
3,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
4,"

        Thrifty Car and Van Rental",Vehicle Data Analyst,Nothing_found,Exeter,"
            Ability to analyse data and identify errors or trends. You will provide accurate data regarding the re-sale values of our fleet. A Cycle to work scheme.",2 hours ago
5,"

        UK Government - Maritime and Coastguard Agency",UKSR Data Analyst,"
                            £29,832 a year",Southampton SO15,"
            Analysis of relevant internal and external data. Provide assurance that all existing data sources continue to be relevant, continue to be accurate and identify…",2 hours ago
6,"

        UK Government - Office of Qualifications and Exami...",Research Assistant,"
                            £31,000 - £36,540 a year",Coventry CV1,"
            Research and data is at the heart of our approach to intelligent, evidence-based regulation. Using research and data, we play a pivotal role in the evaluation…",10 days ago
7,"

        United Lincolnshire Hospitals NHS Trust",Data Quality Analyst,"
                            £21,089 - £23,761 a year",Lincoln LN2,"
Data Quality Analysts work with the operational teams to identify incorrect data items on patient based information systems.",2 hours ago
8,"
        University of the West Scotland",Data and Analytics Officer - Systems,"
                            £30,046 - £35,844 a year",Paisley,"
            The Data and Analytics Officer - Systems will work with colleagues to identify trends in data sets and will provide constructive guidance and support in…",11 days ago
9,"
        Re:signal",Freelance Graphic Designers,Nothing_found,Remote,"
            By filling out and sending this form, you acknowledge that your data will be recorded on Re: Are you the type of designer who dares to dream?",4 months ago
10,"

        Berenberg Bank","Internship in our Equity Capital Markets (ECM) team, London",Nothing_found,London,"
            Due to strict data protection laws in order for your application to be considered at all, you must apply through our online System.",14 days ago
11,"

        University of London",Data Entry Intern - Nesta Internship,"
                            £10.55 an hour",London,"
            Open Data Challenge Series (full review and entry of data). AAL 2016 (Some data is missing). Data Entry Intern (Challenging Prizes)- Nesta Internship.",30+ days ago
12,"
        Keppel Corporation",Intern (Data Analytics),Nothing_found,Keppel,"
            Supports the Data Analytics team on project basis. The ideal candidate needs to be analytical and able to work with numbers well.",11 months ago
13,"

        The University of Manchester",Student Support and Engagement Officer (HUM),"
                            £27,511 - £31,865 a year",Manchester,"
            Will proactively use data available to identify students who would benefit from additional academic support and will work with the Student Support and Guidance…",9 days ago
14,"
        Moneyline",Data Architect,"
                            £26,000 a year",Nothing_found,"
            As our data architect you will be the data champion within Moneyline. What makes a data champion?*. As our Data Architect you will be:",Nothing_found
15,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
16,"
        causaLens",Data Scientist,"
                            £35,000 - £90,000 a year",Nothing_found,"
            We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series.",Nothing_found
17,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
            Attention to detail, ensuring accurate recording of data. We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
18,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
0,"
        Tangoe Inc.",Client Data Analyst,Nothing_found,Nothing_found,"
            You’ll be responsible for monitoring volumes of client data on their telecom invoices, ensuring all are received and loaded into our expense management tools…",Nothing_found
1,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
2,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
3,"

        Yorkshire Building Society Group",Data Manager,"
                            £45,000 a year",Nothing_found,"
            Oversee the data deficiency process; As our next Data Manager you’ll ensure that data quality management practices and approaches are fit for purpose and result…",Nothing_found
4,"

        Mott MacDonald",2020 UK Graduate Data Scientist,Nothing_found,United Kingdom,"
            Presenting information using data visualisation techniques. As a Data Scientist, you will have a chance to work with and learn from the other members of our…",17 days ago
5,"

        Chesterfield Royal Hospital NHS Foundation Trust",Senior Data Quality Officer,"
                            £21,089 - £23,761 a year",Chesterfield S44,"
            Chesterfield Royal Hospital is currently seeking to appoint a full-time Senior Data Quality & Validation Officer to work with the existing Data Quality and…",2 hours ago
6,"

        Shop Direct",Data Analysts (Forecasting),Nothing_found,Liverpool,"
            As an Analyst in the team, you’ll be at the heart of our goal to expand the impact of data and insight within Shop Direct. We’ve got a clear goal.",4 days ago
7,"

        University of Oxford",Data Co-ordinator,Nothing_found,Oxford,"
            As Data Coordinator you will work on the ACST-2 study (https://acst-2.org/). You will also have experience using data management systems, a flexible attitude…",11 days ago
8,"

        Public Health England",919-AP-9398835-EXT - Administration Officer,"
                            £18,319 - £21,551 a year",Newcastle upon Tyne NE1,"
            The ability to use Microsoft Office data analysis tools to a high level and meticulous accuracy of data entry is essential.",2 hours ago
9,"

        Somerset County Council",Data and Performance Assistant,"
                            £9,213 - £9,585 a year",Taunton,"
            The Data and Performance Assistant has a key role in supporting these functions through providing regular statistical reports, analysing local and county wide…",11 days ago
10,"
        Frontier Economics Limited",Junior Data Scientist,Nothing_found,London WC1V,"
            Source data and set our data requirements, adapting analysis based on data availability. In emails/calls when requesting data). Embed the values of the firm.",10 days ago
11,"

        UK Government - Crown Commercial Service",Data Insights Specialist,"
                            £27,096 - £33,749 a year",Norwich,"
            Design and build new data processes for modeling and data mining. Develop and implement the required SQL coding to pull through accurate data from the Data…",2 days ago
12,"

        South Gloucestershire Council",Data and Information Analyst,"
                            £28,785 - £31,371 a year",Yate,"
            Experience of data analysis and/or collection in an Education setting. Alison Bateman, Performance and Data Manager - Education, 01454 86 3230 or Alison.bateman…",11 days ago
13,"
        East Coast College",3760 - Data Administrator,Nothing_found,Great Yarmouth NR31,"
            We will hold and process any personal data, including sensitive (special category) personal data, relating to you in accordance with our legal obligations, in…",30+ days ago
14,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
15,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
16,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
            Attention to detail, ensuring accurate recording of data. We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
17,"
        causaLens",Data Scientist,"
                            £35,000 - £90,000 a year",Nothing_found,"
            We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series.",Nothing_found
18,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
0,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
1,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
2,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
3,"

        South East Water",Insight Data Scientist,"
                            £35,000 - £40,000 a year",Nothing_found,"
            Supporting other department data teams in identifying potential usable data sets that the organisation maintains.",Nothing_found
4,"

        Barnardo's",Data Officer,Nothing_found,Gateshead NE8,"
            The data officer will initially support the Gateshead SENDIAS Service to look at the data they collect, to set up systems to collect the data and to report on…",6 days ago
5,"

        Baker Hughes",University Internships & Placements - 2019/2020 (United Kingdom),Nothing_found,United Kingdom,"
            Computer science, Digital & Interaction Design, Mathematica Engineering, Telecommunication Engineering or in courses related to Software Engineering, Data…",30+ days ago
6,"
        Think Pipeline",Data Researcher,Nothing_found,Bournemouth,"
            The ability to pay attention to detail, communicate well and be highly organised are essential skills for this role.",7 months ago
7,"

        PwC",Client Finance Administrator - London,Nothing_found,London,"
Data entry risk administration and reporting. Ability to interpret financial data and produce relevant reports. Confidence with numbers and budget work.",4 hours ago
8,"
        Quantexa",Big Data Graduate Programme 2020,Nothing_found,London,"
            You will work on big data projects where you will have exposure to data science, data engineer and DevOps methods, whilst learning to be comfortable dealing…",13 days ago
9,"

        East Kent Hospitals University NHS Foundation Trus...",Assistant Administrator,"
                            £17,652 - £19,020 a year",Canterbury CT1,"
            Accurate and timely data entry is a vital part of the role to maintain the Trust’s must do targets. All candidates will be required to attend a Group interview…",2 hours ago
10,"

        Central London Community Healthcare NHS Trust",Data Analyst,"
                            £36,481 - £44,044 a year",London SW1E,"
            If you have a passion for improving services and performance and empowering clinicians through the provision of high quality data and business intelligence and…",2 hours ago
11,"
        Optimum Recruit",Data Entry Clerk,"
                            £8.50 - £10.00 an hour",Middlesbrough,"
            We are currently looking to recruit on behalf of our client a Data Entry Clerk for a company based in Middlesbrough.",21 days ago
12,"

        Network Housing Group",Performance & Data Quality Analyst,"
                            £39,511 a year",Wembley,"
            We have a great opportunity for an experienced Performance & Data Quality Analyst. Ability to develop understanding of a wide range of business activities.",5 days ago
13,"
        DoScouting",Sports Data Journalist,"
                            £20 - £23 an hour",Birmingham,"
            Looking for sport data journalists in the United Kingdom! You will have to attend different sport matches and collect statistical data.",30+ days ago
14,"

        Foreign & Commonwealth Office",Open Source Intelligence Analyst,"
                            £34,053 a year",Nothing_found,"
            By the time you leave us, you will have an enhanced understanding of open source techniques, data science-led approaches and behavioural science methodologies.",Nothing_found
15,"
        causaLens",Data Scientist,"
                            £35,000 - £90,000 a year",Nothing_found,"
            We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series.",Nothing_found
16,"

        Clearanswer Call Centre LTD",Data Input Clerk,"
                            £17,567 a year",Nothing_found,"
            Fast and accurate data input skills. The successful candidates will be fast and accurate in inputting data and have an excellent telephone manner and be able to…",2 days ago
17,"

        G-Research",Data Scientist - Data Intelligence,Nothing_found,Nothing_found,"
            Demonstrable proficiency in statistical data analysis and data visualisation. The successful candidate will be comfortable working within a multi-disciplinary…",Nothing_found
18,"
        PG",Physiotherapy Assistant - No Experience Neccesary,"
                            £13 an hour",Nothing_found,"
            Attention to detail, ensuring accurate recording of data. We have an opportunity for aPhysiotherapy Assistantto join their team of staff in the Physiotherapy…",Nothing_found
0,"

        Civil Service Fast Stream",Fast Stream - Government Social Research Scheme,"
                            £27,000 a year",Nothing_found,"
            Your work might involve developing surveys, analysing data, producing statistics, reviewing existing research evidence and working with other analysts in…",Nothing_found
1,"

        Civil Service Fast Stream","Fast Stream - Digital, Data & Technology Scheme","
                            £28,000 a year",Nothing_found,"
            Gathering and analysing data, including user research. Advising ministers and senior management on digital, data and technology strategy and policies.",Nothing_found
2,"

        Micro Focus",Data Scientist,Nothing_found,Nothing_found,"
            Identifies data sources, collects, transforms and prepares large amounts of data for analysis. Monitors and continuously improves the data sources, usability…",Nothing_found
3,"
        Project 11",Junior Data Researcher,"
                            £18,000 - £20,000 a year",Nothing_found,"
            As a Junior Data Researcher, you will be expected to generate lead research information in specified regions and industry verticals using your own initiative…",3 days ago
